"Issue Type","Issue ID","Parent ID","Summary","Description","Assignee","Sprint","Priority"
"Task","1000","","Configuración inicial y arquitectura base SIGES","Establecer la base técnica del sistema SIGES para PHP Vanilla, MySQL, Bootstrap 5 y PWA, preparada para desarrollo local con XAMPP y despliegue en InfinityFree. La arquitectura debe ser modular, segura y mantenible, sin Composer/CLI como requisito de producción.","Gunnar","Sprint 0","High"
"Sub-task","1001","1000","Preparar entorno XAMPP, PHP y MySQL","Configurar Apache/PHP/MySQL para ejecución local. Verificar versión compatible, extensiones requeridas, estructura htdocs y conexión PDO a MySQL. Registrar parámetros sin incluir credenciales en Git.","Gunnar","Sprint 0","High"
"Sub-task","1002","1000","Crear estructura modular PHP","Definir carpetas para configuración, controladores, modelos/repositorios, vistas, endpoints, middleware, utilidades, assets, uploads y librerías incluidas. Separar presentación, lógica y acceso a datos.","Gunnar","Sprint 0","High"
"Sub-task","1003","1000","Diseñar esquema inicial MySQL","Crear base de datos y tablas base para usuarios, roles, permisos, clientes, prendas, contratos y auditoría. Definir PK/FK, índices, tipos monetarios DECIMAL, fechas y estados evitando dependencias incompatibles con hosting compartido.","Gunnar","Sprint 0","High"
"Sub-task","1004","1000","Configurar Bootstrap y sistema visual","Crear plantilla base responsive con Bootstrap 5. Aplicar azul marino #0B192C/#1E3E62 como estructura y dorado #D4AF37/#FFC107 para acciones, además de verde #198754, rojo #DC3545 y amarillo #FFC107 para estados.","Alexander","Sprint 0","High"
"Sub-task","1005","1000","Crear shell PWA","Implementar manifest.json, iconos, registro del Service Worker y estrategia inicial de caché para assets estáticos. Definir instalación y fallback offline básico sin pretender sustituir la persistencia MySQL.","Alexander","Sprint 0","High"
"Sub-task","1006","1000","Configurar repositorio y flujo Git","Inicializar repositorio, ramas main/develop/feature y .gitignore para credenciales, uploads temporales y archivos locales. Documentar flujo mínimo de colaboración para dos desarrolladores.","Gunnar","Sprint 0","High"
"Sub-task","1007","1000","Definir seguridad base","Establecer PDO con consultas preparadas, gestión segura de sesión, CSRF para formularios, escape de salida HTML, control de archivos subidos y política de autorización por rol.","Gunnar","Sprint 0","High"
"Task","1100","","Módulo 1 - Autenticación y Seguridad","Implementar autenticación y autorización para OWNER, EMPLOYEE y CLIENT. El módulo debe controlar sesión, permisos, registro de clientes, recuperación simulada y cierre de sesión. Toda operación sensible debe validar autorización en servidor.","Gunnar","Sprint 1","High"
"Sub-task","1101","1100","Diseñar login responsive","Crear formulario de login centrado, con campos email y contraseña. Usar encabezado azul marino #0B192C, botón principal dorado #D4AF37 con texto #0B192C, mensajes de error rojo #DC3545 y estado de éxito verde #198754. El botón debe enviar credenciales y mostrar errores sin exponer información sensible.","Alexander","Sprint 1","High"
"Sub-task","1102","1100","Implementar autenticación PHP","Usar tabla users con id, email, password_hash, role_id, status y timestamps. Validar email, existencia y estado; comparar contraseña mediante password_verify. Responder con redirección controlada o error genérico.","Gunnar","Sprint 1","High"
"Sub-task","1103","1100","Implementar roles y autorización","Usar roles OWNER, EMPLOYEE y CLIENT y middleware PHP para comprobar sesión y permiso antes de acceder a cada módulo. Responder HTTP 401/403 según corresponda y registrar intentos relevantes.","Gunnar","Sprint 1","High"
"Sub-task","1104","1100","Diseñar navbar por rol","Crear navbar superior responsive. Fondo #0B192C, marca clara, enlaces según rol y botón de cierre de sesión. En móvil usar menú colapsable. Ocultar opciones no autorizadas y mantener la protección también en backend.","Alexander","Sprint 1","High"
