"Clave","Tipo","Resumen","Estado","Prioridad","Epic","Epic summary","Clave padre","Resumen padre","Sprint","Creador","Informador","Asignado","Creada","Actualizada","Fecha de vencimiento","Fecha de inicio","Story points","Votos","Clasificación","Color de la incidencia","Categoría de estado","Categoría de estado cambiada","Descripción"
"SGS-1","Epic","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES",,,,"Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:00","18/08/2026 10:00","01/09/2026 00:00","18/08/2026 00:00","0","0","0|i0000v:","dark_blue","Por hacer","18/ago/26 10:00 AM","Establecer la base técnica del sistema SIGES para PHP Vanilla, MySQL, Bootstrap 5 y PWA, preparada para desarrollo local con XAMPP y despliegue en InfinityFree. La arquitectura debe ser modular, segura y mantenible, sin Composer/CLI como requisito de producción."
"SGS-2","Task","HU-00.01 Configurar Entorno de Desarrollo XAMPP","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:01","18/08/2026 10:01","25/08/2026 00:00","18/08/2026 00:00","3","0","0|i00013:","","Por hacer","18/ago/26 10:01 AM","*Como* desarrollador backend, *quiero* configurar el entorno de desarrollo con XAMPP, PHP y MySQL *para* tener una base funcional para el desarrollo del sistema SIGES."
"SGS-3","Sub-task","Instalar XAMPP en el sistema","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-2","HU-00.01 Configurar Entorno de Desarrollo XAMPP","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:02","18/08/2026 10:02","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0001b:","","Por hacer","18/ago/26 10:02 AM","Descargar e instalar XAMPP versión 8.2.x o superior. Verificar que Apache y MySQL se ejecuten correctamente. Configurar el puerto 80 y 3306 para evitar conflictos."
"SGS-4","Sub-task","Configurar PHP.ini y extensiones","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-2","HU-00.01 Configurar Entorno de Desarrollo XAMPP","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:02","18/08/2026 10:02","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0001j:","","Por hacer","18/ago/26 10:02 AM","Habilitar extensiones necesarias en php.ini: PDO, MySQLi, GD, FileInfo, JSON, Session, OpenSSL. Configurar memory_limit = 256M, upload_max_filesize = 20M, post_max_size = 20M, max_execution_time = 300."
"SGS-5","Sub-task","Crear estructura de carpetas del proyecto","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-2","HU-00.01 Configurar Entorno de Desarrollo XAMPP","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:03","18/08/2026 10:03","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0001r:","","Por hacer","18/ago/26 10:03 AM","Crear la estructura de directorios en htdocs: /siges/ (raíz), /src/ (Controllers, Models, Views, Config, Middleware, Utils), /public/ (css, js, images, uploads), /vendor/ (librerías incluidas manualmente)."
"SGS-6","Sub-task","Verificar conexión PDO a MySQL","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-2","HU-00.01 Configurar Entorno de Desarrollo XAMPP","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:03","18/08/2026 10:03","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0001z:","","Por hacer","18/ago/26 10:03 AM","Crear archivo config.php con constantes de conexión (DB_HOST, DB_USER, DB_PASS, DB_NAME). Implementar función de conexión PDO con manejo de excepciones. Probar la conexión con un script de prueba."
"SGS-7","Task","HU-00.02 Diseñar Esquema de Base de Datos MySQL","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:04","18/08/2026 10:04","25/08/2026 00:00","18/08/2026 00:00","3","0","0|i00027:","","Por hacer","18/ago/26 10:04 AM","*Como* desarrollador backend, *quiero* diseñar el esquema de base de datos relacional *para* establecer la estructura de datos del sistema SIGES."
"SGS-8","Sub-task","Crear tabla users y roles","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-7","HU-00.02 Diseñar Esquema de Base de Datos MySQL","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:05","18/08/2026 10:05","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0002f:","","Por hacer","18/ago/26 10:05 AM","Crear tabla roles (id, name, description, created_at, updated_at). Crear tabla users (id, role_id, name, email, password_hash, status, created_at, updated_at). Definir PK/FK y índices por email/status."
"SGS-9","Sub-task","Crear tablas customers, items y contracts","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-7","HU-00.02 Diseñar Esquema de Base de Datos MySQL","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:06","18/08/2026 10:06","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0002n:","","Por hacer","18/ago/26 10:06 AM","Crear tabla customers (id, user_id, ci, name, email, phone, address, created_at). Crear tabla items (id, name, category, description, photos, estimated_value, condition, created_at). Crear tabla contracts (id, customer_id, item_id, amount, interest_rate, term, start_date, end_date, status, created_at)."
"SGS-10","Sub-task","Crear tablas inventory, auctions y payments","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-7","HU-00.02 Diseñar Esquema de Base de Datos MySQL","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Gunnar Pecho","18/08/2026 10:07","18/08/2026 10:07","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0002v:","","Por hacer","18/ago/26 10:07 AM","Crear tabla inventory (id, contract_id, location_aisle, location_shelf, location_level, status, created_at). Crear tabla auctions (id, contract_id, start_price, current_price, increment_min, end_time, status, created_at). Crear tabla payments (id, contract_id, type, amount, payment_method, receipt_number, status, created_at)."
"SGS-11","Task","HU-00.03 Configurar Frontend y Sistema Visual","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:08","18/08/2026 10:08","25/08/2026 00:00","18/08/2026 00:00","3","0","0|i00033:","","Por hacer","18/ago/26 10:08 AM","*Como* desarrollador frontend, *quiero* configurar Bootstrap 5 y el sistema visual *para* establecer la base de diseño responsivo del sistema SIGES."
"SGS-12","Sub-task","Crear plantilla base con Bootstrap 5","Por hacer","High","SGS-1","EPIC-00 Configuración Inicial y Arquitectura Base SIGES","SGS-11","HU-00.03 Configurar Frontend y Sistema Visual","Sprint 0","Alexander Rodriguez","Alexander Rodriguez","Alexander Rodriguez","18/08/2026 10:09","18/08/2026 10:09","25/08/2026 00:00","18/08/2026 00:00","1","0","0|i0003b:","","Por hacer","18/ago/26 10:09 AM","Crear plantilla base HTML con head, navbar, contenedor principal y footer. Integrar Bootstrap 5 desde CDN. Establecer estructura responsive con container-fluid y grid system."
